sEdnite	Agpmpay-t	sedn
••	X	••
svAšta	Pi3n-n	svašta
bilO	Vmp-sn	biti
.	Z	.

a	Cc	a
.	Z	.

pa	Cc	pa
jEdan	Mlcmsn	jedan
otUd	Rgp	otud
bAca	Vmr3s	bacati
Edan	Mlcmsn	jedan
odovUd	Rgp	odavde
vArdi	Npmpn	Vardo
pa	Cc	pa
ju	Pp3fsa	on
•	X	•
ako	Cs	ako
čUšne	Ncfpn	čušna
drvcEto	Pi3n-a	drvcEto
.	Z	.

On	Pp3msn	on
pobEdi	Vmr3s	pobediti
ako	Cs	ako
ne	Qz	ne
čUšne	Vmr3s	čušnuti
Ono	Pd-nsn	onaj
mu	Pp3msd	on
pAdne	Vmr3s	pasti
.	Z	.

takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
.	Z	.

svAšta	Pi3n-n	svašta
bilO	Vmp-sn	biti
sIne	Ncmsv	sin
svAšta	Pi3n-n	svašta
svAšta	Pi3n-n	svašta
.	Z	.

pa	Cc	pa
tO	Pd-nsn	taj
gi	Pp3msa	on
imAa	Sa	imAa
vAko	Agpmsny	vako
vOj	Ncmsn	voj
vrEme	Ncnsn	vreme
krstIne	Npfsg	Krstina
snOpje	Npfsg	snOpja
se	Px--sa	sebe
denUlo	Vmp-sn	denuti
pa	Cc	pa
.	Z	.

se	Pxsa	sebe
Igramo	Vmr1p	igrati
Okolo	Sg	okolo
krstIne	Npfsg	Krstina
te	Cc	te
kUtamo	Pi3n-n	kUtamo
se	Px--sa	sebe
.	Z	.

zvAli	Vmp-pm	zvati
smo	Var1p	biti
ga	Pp3msa	on
kutAš	Ncfsa	kutaš
((laugh))	X	((laugh))
kUtamo	Pi3n-n	kUtamo
se	Px--sa	sebe
.	Z	.

i	Cc	i
takO	Rgp	tako
.	Z	.

bilO	Vcp-sn	biti
.	Z	.

pa	Cc	pa
jedAn	Mlcmsn	jedan
trAži	Vmr3s	tražiti
kUj	Pi3m-n	ko
žmUri	Vmr3s	žmuriti
.	Z	.

On	Pp3msn	on
Ide	Vmr3s	ići
i	Cc	i
trAži	Vmr3s	tražiti
ni	Qo	ni
mI	Pp1-pn	ja
po	Sa	po
trI	Mlc	tri
četvOrica	Ncfsn	četvorica
bUdemo	Var1p	biti
.	Z	.

kOi	Pi-msn	koji
se	Px--sa	sebe
sastAjmo	Vmp-sn	sastajati
tAmo	Rgp	tamo
pOlje	Ncnsn	polje
.	Z	.

i	Cc	i
takO	Rgp	tako
je	Var3s	biti
••	X	••
bilO	Vcp-sn	biti
.	Z	.

ti	Pp2-sn	ti
••	X	••
Otkud	Rgp	otkud
bAš	Rgp	baš
znAm	Vmr1s	znati
kakvO	Pi-nsn	kakav
smo	Var1p	biti
se	Px--sa	sebe
svE	Pi-nsn	sav
igrAli	Vmp-pm	igrati
.	Z	.

nAjviše	Rgp	najviše
smo	Var1p	biti
se	Px--sa	sebe
igrAli	Vmp-pm	igrati
devOjčići	Sa	devOjčići
sas	Sa	sa
lUtke	Ncfpa	lutka
səs	Si	sa
.	Z	.

prAimo	Vmr1p	praviti
si	Px--sd	sebe
od	Sg	od
kRpenke	Ncfpn	krpenka
uzImamo	Vmr1p	uzimati
drEčice	Pp1-pn	drEčice
Igramo	Vmr1p	igrati
se	Px--sa	sebe
ne	Qz	ne
Imalo	Vmp-sn	imati
kUpeno	Appnsny	kupiti
.	Z	.

tAk	Rgp	tako
.	Z	.

kakvO	Pi-nsn	kakav
ćemo	Var1p	hteti
drUgo	Mlonsa	drugi
.	Z	.

u	Sl	u
pa	Cc	pa
naprAiš	Vmr2s	napraviti
od	Sg	od
drEje	Npfsg	drEja
nAšo	Ncmsg	naš
si	Px--sd	sebe
drEje	Ncnsn	dreje
pa	Cc	pa
.	Z	.

naprAjmo	Pd-fsa	naprAjmo
lUtku	Ncfsa	lutka
pa	Cc	pa
se	Px--sd	sebe
Igramo	Vmr1p	igrati
.	Z	.

nOsimo	Vmr1p	nositi
Igramo	Vmr1p	igrati
se	Px--sa	sebe
.	Z	.

mUški	Agpmpny	muški
lOptice	Ncfpn	loptica
od	Sg	od
••	X	••
čarApu	Ncfsa	čarapa
pu	Cc	pu
napUne	Vmr3p	napuniti
.	Z	.

pa	Cc	pa
se	Px--sa	sebe
Igru	Vmp-sn	igti
••	X	••
takvO	Pd-nsn	takav
bilO	Vmp-sn	biti
((laugh))	X	((laugh))
••	X	••
jao	I	jao
.	Z	.

mUka	Ncfsn	muka
bilO	Vcp-sn	biti
.	Z	.

mUka	Ncfsn	muka
.	Z	.

ma	I	ma
jOk	I	jok
kvO	Pi3m-n	kvo
će	Var3s	hteti
ni	Qo	ni
gOne	Vmr3p	goniti
onI	Pp3mpn	oni
svI	Pipn	sav
vAte	Ncfpn	vata
pOlje	Ncnsn	polje
mI	Pp1-sd	ja
svI	Vmr3s	svirati
se	Px--sd	sebe
skUpimo	Vmr1p	skupiti
.	Z	.

drugarIce	Ncfpn	drugarica
kod	Sg	kod
jEdnu	Mlcfsa	jedan
kod	Sg	kod
drUgu	Mlofsa	drugi
•	X	•
pa	Cc	pa
se	Px--sa	sebe
Igramo	Vmr1p	igrati
.	Z	.

ne	Qz	ne
prAjmo	Agpmsny	prajmo
nEred	Ncmsn	nered
nIkakav	Pisan	nikakav
nesU	Var3p	biti
bIli	Vmp-pm	biti
tOlko	Rgp	toliko
tƏg	Rgp	tako
decA	Ncnpn	dete
nemIrni	Agpmsny	nemiran
kAko	Cs	kako
sƏg	Rgp	sad
.	Z	.

i	Cc	i
••	X	••
takOj	Rgp	tako
smo	Var1p	biti
se	Px--sa	sebe
igrAli	Vmp-pm	igrati
.	Z	.

kakvO	Pi-nsn	kakav
ćemo	Var1p	hteti
drUgo	Mlonsa	drugi
.	Z	.

a	Cc	a
praznovAli	Vmp-pm	praznovati
se	Pxsa	sebe
mnOgo	Rgp	mnogo
prAznici	Ncmpn	praznik
.	Z	.

i	Cc	i
Uskrs	Npmsn	Uskrs
i	Cc	i
božIć	Npmsn	Božić
i	Cc	i
slAve	Vmr3p	slaviti
kOmu	Ncfsa	koma
je	Var3s	biti
slAva	Ncfsn	slava
kakvA	Pi-fsn	kakav
.	Z	.

Ono	Pd-nsn	onaj
se	Px--sa	sebe
